loan_status,loan_amnt,int_rate,installment,fico_range_low,total_pymnt,total_rec_prncp,last_pymnt_amnt,last_fico_range_high,last_fico_range_low
0,30875,0.13,1037.19,705,35322.3623,30875,19808.39,744,740
0,24700,0.24,968.93,685,29687.34144,24700,20063.88,679,675
0,7000,0.13,235.16,685,7437.289522,7000,6271.44,499,0
1,12000,0.1,389.98,690,9354.93,4548.04,389.98,554,550
0,15000,0.1,487.47,715,17530.74147,15000,1452.97,779,775
0,19000,0.13,644.68,680,21768.11,19000,7426.39,704,700
0,30000,0.11,989.14,700,31124.6359,30000,3249.82,724,720
1,19825,0.19,726.61,685,16988.37,9625.23,75,624,620
0,16000,0.05,481.84,725,16941.27566,16000,9276.77,744,740
0,17000,0.11,556.48,700,19853.99052,17000,4849.79,719,715
1,10000,0.22,383.93,690,7288.99,4427.97,383.93,499,0
0,5000,0.11,164.86,715,5708.296538,5000,2747.2,729,725
0,30000,0.11,989.14,770,33522.17747,30000,20701.66,794,790
0,4000,0.13,134.38,720,4810.752345,4000,197.51,624,620
0,5000,0.11,164.86,770,5790.727613,5000,2335.05,814,810
0,15000,0.14,512.6,695,17303.77776,15000,9638.1,694,690
1,12800,0.09,404.6,720,10048.18,8163.42,404.6,649,645
0,30000,0.14,1032.49,690,37100.38475,30000,3064.44,679,675
0,18000,0.07,555.71,690,19915.90504,18000,2749.35,694,690
0,20000,0.13,671.86,690,21641.08956,20000,16379.9,724,720
0,20000,0.11,654.68,720,20659.8671,20000,15520.25,759,755
1,12400,0.24,486.43,695,4029.91,1773.28,486.43,524,520
0,10000,0.08,311.48,700,10104.17,10000,10112.6,549,545
0,13000,0.07,401.35,690,14303.32598,13000,4676.21,684,680
1,13925,0.17,496.4,765,12087.31,8710.27,496.4,499,0
0,20000,0.09,635.91,715,20006.5,20000,20026.48,749,745
0,25000,0.11,824.29,690,29468.91156,25000,6420.71,699,695
0,2000,0.11,65.95,695,2356.247779,2000,26.5,659,655
0,12500,0.13,424.14,710,15103.86119,12500,3670.82,734,730
0,8000,0.14,273.39,705,9359.005687,8000,3850.43,614,610
0,20000,0.07,617.46,720,22191.94663,20000,3064.61,694,690
0,2200,0.13,73.91,725,2589.406226,2200,60.42,694,690
0,12000,0.13,407.17,670,14423.30723,12000,38.17,629,625
0,7500,0.17,267.36,670,8456.188751,7500,1957.9,664,660
0,5100,0.13,171.33,715,5888.709033,5100,1375.37,699,695
1,4000,0.2,148.64,675,3523.44,3011.38,148.64,614,610
0,8000,0.13,271.45,670,9200.078451,8000,6000.43,669,665
1,35000,0.11,1154,730,6025.32,4178.37,300,589,585
0,25000,0.13,839.83,700,28423.16385,25000,16701.07,819,815
0,20000,0.05,602.3,715,21369.88884,20000,9335.71,799,795
0,25000,0.11,818.35,680,26663.72361,25000,20147.45,764,760
0,8400,0.09,265.52,765,8574.33129,8400,6951.31,799,795
0,10225,0.11,334.71,675,11843.40444,10225,3822.85,689,685
1,20000,0.14,683.46,680,12271.19,8960.68,683.46,549,545
1,8000,0.11,261.88,690,6539.6,5271.84,261.88,519,515
0,8500,0.09,268.68,725,9464.403573,8500,4098.91,769,765
0,12600,0.18,455.46,710,16195.84986,12600,3468.16,709,705
0,22500,0.13,755.85,720,25439.18521,22500,15645.12,739,735
1,13000,0.13,436.71,660,7902.55,1837.26,436.71,624,620
0,2000,0.13,67.87,675,2020.22,2000,2023.22,669,665
1,8400,0.09,269.04,660,7812.76,6561.27,269.04,589,585
0,35000,0.16,1223.43,805,39164.27162,35000,28187.13,839,835
0,35000,0.3,1479.49,685,41776.06615,35000,31535.02,804,800
0,25000,0.11,824.29,680,28044.03114,25000,14711.6,669,665
0,5000,0.14,170.87,700,6115.747933,5000,897.42,669,665
0,11200,0.14,382.74,670,13751.02762,11200,1138.02,649,645
0,23725,0.16,829.31,700,27978.90581,23725,14742.66,674,670
0,30000,0.13,1007.79,685,33330.48715,30000,22287.43,639,635
0,1000,0.19,36.66,670,1254.842276,1000,9.16,684,680
0,3000,0.13,100.78,700,3622.877085,3000,200.62,694,690
0,24000,0.22,921.43,675,29557.62035,24000,17638.74,714,710
0,6000,0.11,196.41,740,6918.17441,6000,2435.55,814,810
0,3000,0.13,101.8,665,3083.352599,3000,1019.82,759,755
0,9175,0.19,336.28,665,11826.19527,9175,2738.56,764,760
0,17000,0.11,560.52,660,17777.47131,17000,15638.48,684,680
0,1800,0.14,61.95,725,1810.87,1800,1813.77,714,710
0,12000,0.11,395.66,715,13129.9439,12000,9188.66,739,735
0,3500,0.11,115.4,670,4113.904991,3500,1002.57,714,710
1,8500,0.11,278.24,720,2357.62,1441.89,278.24,579,575
0,5400,0.2,200.66,665,7156.386648,5400,1349.24,704,700
0,20000,0.11,659.43,720,23533.94579,20000,4519,809,805
0,12500,0.1,406.23,680,14420.71411,12500,4279.53,644,640
0,24500,0.08,767.63,740,26467.40383,24500,14742.33,774,770
0,9000,0.16,314.6,665,10518.6001,9000,6129.79,624,620
0,7975,0.19,292.3,670,8755.644774,7975,7310.97,704,700
1,9800,0.14,337.28,705,3901.52,2419.89,337.28,559,555
1,10000,0.13,335.93,715,4373.89,2406.65,335.93,509,505
0,16750,0.18,605.47,660,18255.11107,16750,4655.77,714,710
0,20000,0.11,659.43,670,23481.08413,20000,5762.83,714,710
0,3175,0.16,110.99,665,3475.69283,3175,2704.26,629,625
0,20000,0.11,654.68,665,20758.40924,20000,18908.22,729,725
0,12000,0.1,389.98,695,14012.19929,12000,1908.8,804,800
0,2500,0.16,87.39,695,3138.468202,2500,258.93,729,725
0,8000,0.11,261.88,670,8955.864415,8000,527.07,774,770
1,25000,0.13,839.83,710,7907.61,4761.78,839.83,544,540
0,33600,0.21,1274.36,745,42377.33242,33600,20793.44,684,680
0,9600,0.13,325.74,685,10079.58186,9600,9095.17,709,705
0,5000,0.08,155.74,740,5410.88837,5000,3079.01,729,725
0,7500,0.14,258.13,670,9143.431554,7500,2960.39,684,680
0,4000,0.14,136.7,695,4587.100757,4000,2679.52,754,750
0,6000,0.13,203.59,690,7291.659432,6000,1192.95,674,670
0,4200,0.07,129.67,770,4648.22745,4200,228.46,749,745
0,12000,0.08,375.99,690,12352.2188,12000,11234.9,709,705
0,8000,0.11,261.88,660,9383.69212,8000,1287.4,704,700
0,2675,0.14,91.42,660,3001.84517,2675,10.97,759,755
0,4000,0.16,139.82,670,4455.738171,4000,1224.65,779,775
0,3000,0.14,102.52,680,3682.589665,3000,699.17,664,660
0,2200,0.14,75.72,695,2455.472559,2200,1701.81,704,700
1,3500,0.13,118.76,675,1929.44,1104.97,118.76,564,560
0,4800,0.16,167.79,730,4898.42,4800,4906.73,649,645
1,8000,0.14,275.33,665,2212.09,915.49,275.33,499,0
0,1200,0.07,37.05,845,1226.78591,1200,1111.57,839,835
0,7125,0.11,233.23,695,7581.809115,7125,6191.13,719,715
0,6000,0.07,185.24,730,6531.499514,6000,3014.27,774,770
1,10000,0.16,349.55,660,1667.13,442.12,349.55,564,560
0,6000,0.14,205.04,760,6625.940885,6000,4789.91,744,740
0,16000,0.1,519.97,710,18624.14305,16000,960.78,809,805
0,8000,0.07,246.99,770,8884.800696,8000,493.35,709,705
1,3000,0.14,102.52,690,507.94,345.69,102.52,539,535
0,7000,0.13,235.16,680,8127.249228,7000,3695.57,669,665
1,3125,0.1,101.56,685,3221.58,2642.37,103.42,514,510
0,17600,0.11,580.3,665,20092.63048,17600,9621.1,784,780
0,12000,0.09,381.55,745,13560.84917,12000,19.09,764,760
0,2200,0.1,71.5,700,2560.801909,2200,70.86,674,670
0,11000,0.11,362.69,660,12275.04586,11000,7542.53,634,630
0,16000,0.16,559.28,670,18923.97524,16000,10003.22,654,650
0,18325,0.11,604.2,710,20369.81421,18325,12538.6,704,700
0,1600,0.16,55.93,700,1812.79374,1600,82.54,694,690
1,20000,0.09,632.19,715,13866.55,10475.03,632.19,524,520
0,5000,0.13,169.66,675,6012.461158,5000,1169.47,629,625
0,5500,0.14,187.96,680,5739.20326,5500,5183.87,729,725
0,5800,0.13,194.84,680,6718.52891,5800,44.77,654,650
0,10000,0.14,344.17,685,12321.70311,10000,2012.7,609,605
0,7000,0.05,210.81,705,7427.493369,7000,4054.54,709,705
1,9000,0.11,296.75,720,8125.91,6175.37,296.75,569,565
0,10000,0.08,313.32,690,10586.66217,10000,7775.66,589,585
0,15400,0.1,500.47,670,17509.65204,15400,7518.2,739,735
0,6000,0.14,206.5,680,6381.11806,6000,5564.78,604,600
0,35000,0.13,1175.76,695,42370.17828,35000,18.17,734,730
0,18400,0.16,643.18,690,21564.46174,18400,11936.4,799,795
1,6000,0.13,203.59,675,1122.54,413.03,203.59,579,575
0,1450,0.08,45.17,695,1620.87594,1450,12.17,709,705
0,12000,0.09,384.34,670,13771.24243,12000,340.81,719,715
1,17625,0.14,606.59,660,12291.17,7859.75,606.59,659,655
0,10000,0.09,317.96,670,10597.55241,10000,8381.82,749,745
0,8000,0.11,261.88,700,9392.248752,8000,15.46,649,645
1,33600,0.18,1214.56,770,28824.82,13638.83,588.89,549,545
0,8000,0.13,271.45,700,9720.508312,8000,916.1,769,765
0,35000,0.11,1154,695,41343.36247,35000,1153.72,754,750
0,24000,0.14,820.15,710,28784.84336,24000,9958.7,724,720
0,4200,0.09,132.76,780,4619.528949,4200,4.14,754,750
0,15000,0.09,476.93,665,16484.13568,15000,9774.58,749,745
0,15000,0.14,516.25,680,15846.02725,15000,13805.18,699,695
1,5000,0.11,164.86,685,2846.13,1694.43,164.86,594,590
0,9000,0.13,305.38,685,9696.345996,9000,7877.56,709,705
1,7000,0.11,230.8,680,3215.56,1890.18,230.8,594,590
1,25000,0.11,824.29,715,9460.98,6107.72,824.29,559,555
0,19800,0.24,776.71,695,24784.21527,19800,14739.77,679,675
0,8000,0.09,254.37,685,8146.525782,8000,7900.15,679,675
1,30000,0.18,1084.43,705,7640.84,4170.2,1084.43,644,640
0,8500,0.11,280.26,695,9654.717413,8500,4901.15,829,825
0,1600,0.08,49.84,740,1792.670849,1600,99.46,769,765
0,3000,0.17,106.95,675,3050.67,3000,3056.33,699,695
1,20000,0.16,699.1,720,14647.36,10358.86,700,504,500
0,35000,0.24,1382.18,710,48839.58437,35000,284.05,769,765
0,11200,0.13,376.25,665,13456.95945,11200,109.68,724,720
0,6000,0.14,205.04,660,7317.43399,6000,1585.64,684,680
0,35000,0.11,1145.69,715,39709.55788,35000,9129.88,654,650
0,5000,0.16,174.78,660,6034.680925,5000,149.5,554,550
0,2000,0.11,65.95,680,2096.546649,2000,1835.3,564,560
0,4250,0.11,139.12,755,4672.216075,4250,3147.09,704,700
0,8600,0.14,295.98,660,10624.84831,8600,2037.26,684,680
0,10000,0.13,335.93,725,11223.93635,10000,7206.99,704,700
0,20000,0.11,654.68,695,23289.92915,20000,6292.67,759,755
0,5000,0.06,152.07,670,5652.737158,5000,454.93,729,725
0,12000,0.13,407.17,690,14101.69038,12000,1028.64,699,695
0,10000,0.11,329.72,700,11679.94713,10000,3760.95,674,670
1,25000,0.19,916.28,700,9928.45,6193.1,962.09,584,580
0,20000,0.1,649.96,715,21833.26034,20000,14707.01,754,750
1,5000,0.16,174.78,800,4360.84,3219.42,174.78,664,660
0,11000,0.14,375.91,690,12622.67347,11000,7377.03,674,670
1,35000,0.1,1137.43,705,34457.76,28132.66,1137.43,604,600
0,8000,0.1,259.99,755,9146.373461,8000,2925.92,774,770
1,10000,0.11,329.72,660,5228.18,3220.15,675.93,544,540
0,4000,0.11,131.89,675,4312.58212,4000,3262.57,669,665
0,7200,0.11,237.4,710,7721.493001,7200,6091.86,744,740
0,12000,0.14,413,720,14165.8328,12000,6751.15,744,740
0,16275,0.14,560.13,700,18919.0467,16275,10543.3,709,705
0,5500,0.11,181.35,690,6415.22691,5500,1577.15,769,765
1,7500,0.2,278.69,685,4976.27,3195.85,278.69,529,525
1,3500,0.2,130.06,685,2970,1786.48,130.06,594,590
0,3000,0.1,97.5,715,3163.852609,3000,1600.47,654,650
0,20000,0.11,659.43,665,22985.01478,20000,10481.37,754,750
0,8400,0.1,272.99,670,9478.896118,8400,555.9,704,700
0,18000,0.09,572.32,705,18875.89033,18000,7342.99,739,735
0,18000,0.11,593.49,725,19876.20387,18000,13162.18,709,705
0,7500,0.11,247.29,665,8891.370167,7500,493.09,654,650
0,15000,0.11,491.01,680,17470.35964,15000,4722.42,679,675
1,18500,0.19,678.05,685,14685.03,7439.26,678.05,539,535
0,9000,0.13,305.38,740,10905.90133,9000,2640.41,789,785
0,12000,0.09,379.32,690,13461.64864,12000,4748.74,754,750
0,6350,0.11,209.37,715,6962.719585,6350,4877.13,789,785
0,3375,0.22,129.58,685,4175.076353,3375,2369.36,734,730
0,18000,0.13,604.68,675,21624.65204,18000,4114.51,799,795
0,12000,0.13,407.17,685,14459.25148,12000,2666.48,724,720
0,3000,0.17,106.95,670,3651.930049,3000,211.17,679,675
1,6600,0.17,235.28,700,4118.31,2349.47,235.28,514,510
0,10000,0.13,335.93,675,10384.12925,10000,9726.48,534,530
0,13400,0.22,514.46,720,14980.71495,13400,12441.75,739,735
1,5000,0.11,163.67,700,1139.58,848.17,163.67,499,0
0,10000,0.05,301.15,825,10644.02347,10000,5229.23,799,795
0,7200,0.14,246.05,700,8209.546425,7200,5022.09,729,725
0,32000,0.08,996.73,750,33220.19986,32000,28263.54,839,835
0,3000,0.14,103.25,675,3712.123743,3000,205.35,664,660
0,4150,0.16,145.07,680,5164.678557,4150,1109.91,679,675
1,16000,0.11,523.75,685,8318.61,5205.7,523.75,559,555
0,16000,0.11,523.75,660,18162.22047,16000,9224.29,714,710
0,15400,0.05,463.77,720,16251.89794,15400,9324.94,754,750
0,9600,0.11,314.25,670,11245.48168,9600,2143.95,709,705
0,3000,0.17,106.95,710,3550.582817,3000,2056.97,654,650
0,12000,0.07,370.48,770,13293.49932,12000,370.1,799,795
0,6500,0.11,212.78,690,7321.103867,6500,3741.55,699,695
0,32000,0.14,1101.32,730,38663.68229,32000,13384.84,794,790
0,8000,0.08,249.19,805,8277.849124,8000,7038.65,699,695
0,35000,0.13,1175.76,680,40628.76976,35000,19514.83,719,715
0,40000,0.09,1264.38,725,44966.63852,40000,14659.7,764,760
0,20000,0.17,712.96,665,23933.0453,20000,13181.57,684,680
0,7000,0.09,224.2,665,8015.153773,7000,1959.32,764,760
0,10000,0.14,341.73,705,12270.42045,10000,1350.6,594,590
0,9175,0.07,283.26,730,10057.9172,9175,3833.33,804,800
1,27500,0.09,880.78,720,24682.84,20698.14,880.78,534,530
1,30000,0.13,1007.79,680,6886.75,2796.47,100,684,680
0,4475,0.13,150.33,695,4583.722244,4475,1939.75,799,795
0,10000,0.11,329.72,660,10246.44656,10000,9929.5,684,680
0,30000,0.16,1048.65,710,35468.54673,30000,21020.38,729,725
0,14000,0.14,478.42,660,15859.68724,14000,10135.59,669,665
0,3600,0.09,113.8,730,3745.290543,3600,3179.73,719,715
0,20000,0.13,678.61,720,23257.79507,20000,11751.41,684,680
1,10000,0.16,349.55,660,681.78,442.12,349.55,504,500
0,12000,0.1,389.98,745,13368.8493,12000,7533.14,744,740
0,7200,0.13,244.3,680,8300.827128,7200,4402.82,694,690
0,7000,0.08,219.33,745,7093.57,7000,6903.76,844,840
0,25000,0.05,752.87,735,26499.86499,25000,14468.72,614,610
0,24000,0.09,768.68,680,26275.54607,24000,16308.02,699,695
0,9000,0.2,334.43,690,10947.30445,9000,6285.27,674,670
0,7000,0.14,239.21,670,8552.971606,7000,9.1,689,685
0,6000,0.11,197.83,675,6871.472458,6000,193.14,679,675
0,9000,0.09,288.26,730,9447.369679,9000,7975.82,669,665
0,15000,0.11,494.57,795,15986.17158,15000,13037.9,824,820
1,3000,0.08,93.45,700,464.72,377.12,93.45,559,555
0,2400,0.07,74.1,680,2582.423621,2400,1472.78,679,675
0,12000,0.09,381.55,680,13649.0696,12000,2977.66,734,730
0,36000,0.08,1121.32,735,40223.00721,36000,1121.02,814,810
0,8400,0.17,299.45,680,10570.1854,8400,104.75,689,685
1,2000,0.13,67.19,705,1087.2,795.1,149.38,534,530
0,20000,0.11,659.43,660,23619.5581,20000,610.79,644,640
0,10000,0.11,329.72,670,11489.6013,10000,5550.92,734,730
0,8000,0.11,263.78,670,8883.620901,8000,5718.5,679,675
1,8000,0.13,271.45,740,7640.69,5689.05,271.45,544,540
0,21000,0.11,692.4,750,24616.97693,21000,6641.39,754,750
0,10550,0.19,386.67,665,13268.49604,10550,5546.23,724,720
0,16000,0.09,508.73,665,18016.95887,16000,6247.88,729,725
0,25000,0.1,812.45,665,26610.68075,25000,20930.82,734,730
0,10000,0.11,329.72,685,10767.31987,10000,4142.33,694,690
0,6000,0.11,197.83,670,7041.546101,6000,1905.63,684,680
0,40000,0.09,1281.14,740,45944.71871,40000,1280.78,844,840
0,12000,0.1,389.98,675,14032.12365,12000,784.78,614,610
0,15000,0.22,575.89,685,16793.97233,15000,13951.84,619,615
0,14400,0.13,483.74,695,16394.85638,14400,9632.73,719,715
0,8000,0.11,261.88,780,8554.632121,8000,6731.24,784,780
0,9000,0.1,292.48,685,9865.263015,9000,6365.99,599,595
0,10000,0.05,301.15,745,10769.34277,10000,3246.5,824,820
0,25000,0.08,783.3,690,27689.75001,25000,11967.6,699,695
0,5000,0.13,169.66,675,6098.799229,5000,337.85,694,690
0,8000,0.09,256.23,675,8787.363117,8000,5208.58,669,665
1,4800,0.14,164.03,660,4433.11,2283.7,51,579,575
0,12000,0.11,395.66,680,13356.48609,12000,8228.23,699,695
0,9000,0.13,305.38,690,10083.9966,9000,6738.31,714,710
0,4800,0.16,167.79,675,5559.64046,4800,3386.68,499,0
0,18000,0.07,555.71,740,19994.36458,18000,1109.94,659,655
0,20000,0.07,617.46,710,22139.5312,20000,4023.72,789,785
1,7000,0.11,229.14,695,5934.54,2267.35,100,639,635
0,24000,0.11,791.32,665,28369.14945,24000,3899.6,789,785
0,11000,0.14,375.91,735,12796.92503,11000,6799.47,794,790
0,10000,0.14,344.17,670,11666.71838,10000,1643.59,739,735
1,8000,0.13,271.45,720,3285.84,1709.07,271.45,649,645
0,2400,0.16,83.9,670,2971.868651,2400,794.63,694,690
0,5000,0.14,170.87,685,5618.987382,5000,3747.19,689,685
0,24000,0.13,806.23,710,27963.78128,24000,3589.68,719,715
0,5000,0.09,158.05,680,5647.033501,5000,1.92,739,735
0,5400,0.1,175.49,800,5426.76,5400,5433.05,804,800
0,6000,0.08,188,685,6191.487503,6000,5444.82,694,690
0,5000,0.11,164.86,685,5781.119423,5000,2325.44,704,700
0,8000,0.13,268.75,670,8804.699364,8000,6397.32,654,650
0,35000,0.13,1175.76,660,42022.69536,35000,60.36,654,650
1,7200,0.13,244.3,710,1354.95,495.61,244.3,499,0
1,13800,0.19,505.79,680,12767.36,4899.28,100,619,615
0,5000,0.1,162.49,675,5833.847869,5000,801.58,714,710
0,10000,0.11,329.72,685,11831.20807,10000,1622.66,729,725
0,16125,0.13,547.13,725,17373.3986,16125,14114.79,729,725
0,8000,0.09,254.37,665,8857.966668,8000,4541.67,674,670
0,40000,0.14,1376.65,685,42065.76145,40000,38000.21,774,770
0,5000,0.11,164.86,665,5666.724672,5000,3035.34,704,700
0,8800,0.11,288.06,690,9172.546855,8800,8292.89,674,670
1,4200,0.08,130.82,690,4313.52,1183.77,130.82,654,650
1,13975,0.16,488.5,675,5243.01,3253.16,488.5,599,595
0,15000,0.11,494.57,680,16820.13326,15000,920.73,639,635
0,6000,0.07,185.24,690,6526.977831,6000,3012.08,699,695
0,6700,0.05,201.77,740,7221.816175,6700,165.05,809,805
0,9600,0.07,296.38,700,10586.57706,9600,2888.16,709,705
0,7200,0.09,228.93,660,7923.204412,7200,2476.51,779,775
0,7800,0.25,310.09,660,9717.760168,7800,4008.25,649,645
0,7000,0.11,229.14,670,7542.833101,7000,5718.26,764,760
1,16000,0.18,578.36,685,7460.23,3622.66,578.36,559,555
0,40000,0.09,1281.14,685,45884.13204,40000,8773.25,779,775
0,3000,0.14,103.25,700,3431.382513,3000,2093.96,594,590
0,12000,0.11,395.66,750,13960.23194,12000,4510.35,744,740
0,25000,0.16,873.88,700,31055.6601,25000,5918.85,729,725
0,14000,0.14,481.83,660,16854.36347,14000,6276.64,694,690
0,5000,0.11,164.86,705,5340.955384,5000,4348.61,624,620
1,1000,0.14,34.42,675,447.88,235.99,34.42,579,575
0,15000,0.07,463.09,770,16041.05605,15000,10032.54,824,820
0,35000,0.11,1145.69,695,40989.80418,35000,2170.46,774,770
0,12000,0.05,361.38,735,12154.94955,12000,11439.28,734,730
1,12000,0.19,439.82,660,8525.98,4502.41,439.82,579,575
0,13000,0.13,436.71,690,14591.11929,13000,9369.07,759,755
0,12000,0.13,407.17,700,12879.60567,12000,10454.58,744,740
1,16000,0.13,537.49,660,6527.78,3856.95,136.5,629,625
0,5000,0.11,163.67,725,5591.303145,5000,3142.36,629,625
1,10000,0.11,329.72,715,5964.15,2700.49,329.72,554,550
1,35000,0.25,1396.97,660,18293,7233.37,585.19,534,530
0,17000,0.14,585.08,680,18042.03986,17000,110.99,714,710
1,7000,0.11,230.8,690,3443.25,2069.65,230.8,534,530
0,3000,0.13,101.8,715,3460.275976,3000,1930.04,664,660
1,12000,0.2,445.91,670,6980.72,3538.15,445.91,579,575
0,21600,0.13,732.9,660,26177.06238,21600,519.16,664,660
1,10000,0.07,308.73,760,6010.72,4453.01,1250.36,499,0
0,28800,0.14,991.19,670,31738.36516,28800,10828.79,754,750
0,8700,0.24,341.29,670,9055.1,8700,8737,684,680
0,20000,0.1,649.96,660,21630.22245,20000,15803.89,719,715
0,12000,0.14,413,665,14786.8716,12000,2416.19,699,695
0,35000,0.17,1247.68,760,43778.8813,35000,15115.28,804,800
0,6000,0.14,206.5,680,6460.625273,6000,97.79,754,750
0,5600,0.09,178.06,710,6391.674165,5600,177.75,794,790
0,3000,0.09,95.39,730,3378.670182,3000,1187.7,694,690
0,20000,0.1,649.96,685,22351.60975,20000,12625.52,654,650
0,10000,0.14,341.73,680,12261.13097,10000,1683.04,714,710
0,20800,0.13,705.76,675,23419.87437,20800,14981.93,694,690
0,10000,0.09,317.96,710,10512.83746,10000,8615.07,619,615
0,8000,0.11,261.88,680,8423.749029,8000,7143.66,734,730
0,21000,0.09,672.6,720,23263.61126,21000,12524.15,764,760
0,1000,0.14,34.42,735,1005.64,1000,1007.25,634,630
0,10000,0.11,329.72,705,10895.91569,10000,7831.21,734,730
0,6500,0.11,214.32,670,6520.75,6500,6529.05,729,725
0,3500,0.05,105.41,790,3749.440816,3500,219.89,734,730
0,9800,0.24,387.01,670,13570.50394,9800,3921.92,659,655
1,1700,0.21,64.48,725,232.89,68.68,64.48,579,575
0,2500,0.17,89.12,705,2885.703786,2500,101.3,644,640
1,5000,0.11,163.67,660,4141.27,1752.07,50,529,525
0,4000,0.11,131.89,670,4742.549898,4000,263.4,789,785
0,6000,0.11,197.83,800,6122.39,6000,5918.77,749,745
0,25000,0.07,771.82,775,26504.85085,25000,1672.41,794,790
0,18000,0.08,563.98,720,19474.35452,18000,11594.61,734,730
0,35000,0.2,1300.55,665,46102.63264,35000,11053.61,689,685
0,4500,0.11,148.38,710,4856.648823,4500,3494.26,709,705
0,3200,0.11,105.51,700,3428.804672,3200,2694.32,644,640
0,10000,0.13,339.31,660,10235.91,10000,9911.59,679,675
0,21000,0.18,759.1,690,24600.90077,21000,7015.48,734,730
1,35000,0.14,1204.57,675,14348.93,7387.17,1204.57,519,515
0,7000,0.07,216.11,750,7395.535142,7000,5249.16,684,680
1,15000,0.11,491.01,680,14026.93,9964.98,295,559,555
0,12000,0.1,389.98,665,13406.13326,12000,290.46,644,640
0,17000,0.13,571.08,690,18358.642,17000,14363.33,574,570
0,8000,0.09,256.23,715,9050.836195,8000,3422.22,729,725
1,35000,0.22,1343.74,675,15078.44,7439.11,1343.74,574,570
0,5000,0.05,150.58,750,5307.166293,5000,2758.4,689,685
